gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1	background
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.046	0.031
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.031	0.02
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.046	0.031
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.031	0.02
CD8A	P01732	True	CD8A_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.062	0.042
CD8B	P10966	True	CD8B_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.062	0.042
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS067298D94	0.029	0.016
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.029	0.016
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS077F1340A	0.029	0.016
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS067298D94	0.029	0.016
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.029	0.016
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS077F1340A	0.029	0.016
KDR	P35968	True	VGFR2_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.029	0.016
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.346	0.219
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.346	0.219
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.26	0.088
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.26	0.088
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.227	0.351
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.227	0.351
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.029	0.016
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.179	0.197
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.128	0.17
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.179	0.197
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.179	0.197
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.128	0.17
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.033	0.033
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.128	0.163
NRP1	O14786	True	NRP1_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.02	0.019
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.033	0.033
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.128	0.163
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.02	0.019
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.054	0.037
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.054	0.037
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.054	0.037
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.203	0.372
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.086	0.086
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.017	0.012
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.203	0.372
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.203	0.372
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	2.804	2.666
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	3.959	5.393
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	0.898	0.511
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	13.87	45.515
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.338	0.478
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	4.137	6.195
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	1.217	0.945
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	1.109	1.122
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	3.641	4.242
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	1.613	1.959
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.194	0.307
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.037	0.044
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.305	0.192
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.087	0.103
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.219	0.097
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	2.017	1.23
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.019	0.007
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC008F4294F	0.026	0.02
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	0.53	0.59
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.403	0.486
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.015	0.015
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.053	0.044
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.159	0.268
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F7E26271	2.804	2.666
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0A8902C85	3.959	5.393
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0A0532ADC	0.898	0.511
FN1	P02751	False	FINC_HUMAN		CPI-SC0CFF5E19D	13.87	45.515
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0DF641DAA	0.338	0.478
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC0681D30FE	4.137	6.195
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC02017BE74	1.217	0.945
